index_date,frequency,apix_value,base_period_value,raw_weighted_fare,delta_24h,records_sampled,outliers_excluded
2026-08-22,daily,188.32,100,9943.04,30.91,34143,2546
2026-08-24,daily,185.72,100,9806.2,30,56203,4614
2026-08-25,daily,185.74,100,9807.14,30.01,80541,6952
2026-08-26,daily,178.27,100,9412.77,27.39,108743,10001
2026-08-27,daily,178.23,100,9410.73,27.38,121845,11315
2026-08-28,daily,179.65,100,9485.63,27.88,166149,15538
2026-08-29,daily,178.22,100,9410.08,27.38,260650,24215
2026-08-30,daily,177.95,100,9395.64,27.28,289114,26765
2026-08-31,daily,177.89,100,9392.77,27.26,319066,29452
