id,route_id,source,carrier,flight_number,flight_date,booking_window,base_fare,taxes,total_fare,scraped_at,is_outlier,outlier_reason,departure_time,is_nonstop
fare_BOM-DEL_IX_2026-09-08_T+15_1787534247290_0eua,BOM-DEL,EaseMyTrip,IX,IX-1809,2026-09-08,T+15,4939,1084,6023,2026-08-24T00:56:25.668Z,FALSE,"",07:30,FALSE
fare_BOM-DEL_IX_2026-09-08_T+15_1787534247290_d4fn,BOM-DEL,EaseMyTrip,IX,IX-1163,2026-09-08,T+15,5136,1128,6264,2026-08-24T00:56:25.668Z,FALSE,"",20:45,FALSE
fare_BOM-DEL_IX_2026-09-08_T+15_1787534247290_d8s2,BOM-DEL,EaseMyTrip,IX,IX-1787,2026-09-08,T+15,5136,1128,6264,2026-08-24T00:56:25.668Z,FALSE,"",13:10,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_qbtr,BOM-DEL,EaseMyTrip,6E,6E-5059,2026-09-08,T+15,5036,1106,6142,2026-08-24T00:56:25.668Z,FALSE,"",05:45,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_7hwf,BOM-DEL,EaseMyTrip,6E,6E-272,2026-09-08,T+15,5036,1106,6142,2026-08-24T00:56:25.668Z,FALSE,"",01:30,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_h1nf,BOM-DEL,EaseMyTrip,6E,6E-707,2026-09-08,T+15,5036,1106,6142,2026-08-24T00:56:25.668Z,FALSE,"",01:30,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_et26,BOM-DEL,EaseMyTrip,6E,6E-5144,2026-09-08,T+15,5036,1106,6142,2026-08-24T00:56:25.668Z,FALSE,"",06:10,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_zcvi,BOM-DEL,EaseMyTrip,6E,6E-5107,2026-09-08,T+15,5036,1106,6142,2026-08-24T00:56:25.668Z,FALSE,"",20:00,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_iho9,BOM-DEL,EaseMyTrip,6E,6E-5201,2026-09-08,T+15,5036,1106,6142,2026-08-24T00:56:25.668Z,FALSE,"",14:55,FALSE
fare_BOM-DEL_SG_2026-09-08_T+15_1787534247290_jo5g,BOM-DEL,EaseMyTrip,SG,SG-447,2026-09-08,T+15,5231,1148,6379,2026-08-24T00:56:25.668Z,FALSE,"",01:50,TRUE
fare_BOM-DEL_SG_2026-09-08_T+15_1787534247290_cesg,BOM-DEL,EaseMyTrip,SG,SG-637,2026-09-08,T+15,5231,1148,6379,2026-08-24T00:56:25.668Z,FALSE,"",01:50,TRUE
fare_BOM-DEL_SG_2026-09-08_T+15_1787534247290_3vya,BOM-DEL,EaseMyTrip,SG,SG-108,2026-09-08,T+15,5231,1148,6379,2026-08-24T00:56:25.668Z,FALSE,"",06:25,TRUE
fare_BOM-DEL_SG_2026-09-08_T+15_1787534247290_5gh0,BOM-DEL,EaseMyTrip,SG,SG-618,2026-09-08,T+15,5231,1148,6379,2026-08-24T00:56:25.668Z,FALSE,"",06:25,TRUE
fare_BOM-DEL_SG_2026-09-08_T+15_1787534247290_7bjz,BOM-DEL,EaseMyTrip,SG,SG-9090,2026-09-08,T+15,5231,1148,6379,2026-08-24T00:56:25.668Z,FALSE,"",18:00,TRUE
fare_BOM-DEL_SG_2026-09-08_T+15_1787534247290_5azr,BOM-DEL,EaseMyTrip,SG,SG-418,2026-09-08,T+15,5231,1148,6379,2026-08-24T00:56:25.668Z,FALSE,"",22:30,TRUE
fare_BOM-DEL_SG_2026-09-08_T+15_1787534247290_wrx2,BOM-DEL,EaseMyTrip,SG,SG-317,2026-09-08,T+15,5231,1148,6379,2026-08-24T00:56:25.668Z,FALSE,"",22:30,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_crje,BOM-DEL,EaseMyTrip,6E,6E-6599,2026-09-08,T+15,5145,1129,6274,2026-08-24T00:56:25.668Z,FALSE,"",16:50,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_drjo,BOM-DEL,EaseMyTrip,6E,6E-5147,2026-09-08,T+15,5145,1129,6274,2026-08-24T00:56:25.668Z,FALSE,"",18:35,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_oelr,BOM-DEL,EaseMyTrip,6E,6E-5164,2026-09-08,T+15,5145,1129,6274,2026-08-24T00:56:25.668Z,FALSE,"",20:20,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_y8zz,BOM-DEL,EaseMyTrip,6E,6E-6058,2026-09-08,T+15,5145,1129,6274,2026-08-24T00:56:25.668Z,FALSE,"",08:05,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_vz5i,BOM-DEL,EaseMyTrip,6E,6E-5181,2026-09-08,T+15,5145,1129,6274,2026-08-24T00:56:25.668Z,FALSE,"",10:25,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_9jxr,BOM-DEL,EaseMyTrip,6E,6E-5131,2026-09-08,T+15,5145,1129,6274,2026-08-24T00:56:25.668Z,FALSE,"",15:50,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_p4v2,BOM-DEL,EaseMyTrip,6E,6E-6802,2026-09-08,T+15,5145,1129,6274,2026-08-24T00:56:25.668Z,FALSE,"",16:55,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_c63c,BOM-DEL,EaseMyTrip,6E,6E-5273,2026-09-08,T+15,5145,1129,6274,2026-08-24T00:56:25.668Z,FALSE,"",18:35,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_uuy6,BOM-DEL,EaseMyTrip,6E,6E-6122,2026-09-08,T+15,5145,1129,6274,2026-08-24T00:56:25.668Z,FALSE,"",12:25,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_hpbe,BOM-DEL,EaseMyTrip,6E,6E-5345,2026-09-08,T+15,5145,1129,6274,2026-08-24T00:56:25.668Z,FALSE,"",14:25,FALSE
fare_BOM-DEL_IX_2026-09-08_T+15_1787534247290_54gm,BOM-DEL,EaseMyTrip,IX,IX-1050,2026-09-08,T+15,5380,1181,6561,2026-08-24T00:56:25.668Z,FALSE,"",08:55,TRUE
fare_BOM-DEL_IX_2026-09-08_T+15_1787534247290_8vr4,BOM-DEL,EaseMyTrip,IX,IX-1671,2026-09-08,T+15,5380,1181,6561,2026-08-24T00:56:25.668Z,FALSE,"",16:45,TRUE
fare_BOM-DEL_IX_2026-09-08_T+15_1787534247290_q5mv,BOM-DEL,EaseMyTrip,IX,IX-2153,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",20:25,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_tli9,BOM-DEL,EaseMyTrip,6E,6E-5028,2026-09-08,T+15,5209,1143,6352,2026-08-24T00:56:25.668Z,FALSE,"",19:35,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_hcuz,BOM-DEL,EaseMyTrip,6E,6E-526,2026-09-08,T+15,5209,1143,6352,2026-08-24T00:56:25.668Z,FALSE,"",04:45,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_53jp,BOM-DEL,EaseMyTrip,6E,6E-928,2026-09-08,T+15,5209,1143,6352,2026-08-24T00:56:25.668Z,FALSE,"",04:45,FALSE
fare_BOM-DEL_IX_2026-09-08_T+15_1787534247290_coeg,BOM-DEL,EaseMyTrip,IX,IX-1026,2026-09-08,T+15,5446,1195,6641,2026-08-24T00:56:25.668Z,FALSE,"",05:45,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_3fes,BOM-DEL,EaseMyTrip,6E,6E-2138,2026-09-08,T+15,5238,1150,6388,2026-08-24T00:56:25.668Z,FALSE,"",16:20,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_p38v,BOM-DEL,EaseMyTrip,6E,6E-427,2026-09-08,T+15,5317,1167,6484,2026-08-24T00:56:25.668Z,FALSE,"",17:45,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_z9x3,BOM-DEL,EaseMyTrip,6E,6E-600,2026-09-08,T+15,5317,1167,6484,2026-08-24T00:56:25.668Z,FALSE,"",17:45,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_pok6,BOM-DEL,EaseMyTrip,6E,6E-5056,2026-09-08,T+15,5317,1167,6484,2026-08-24T00:56:25.668Z,FALSE,"",21:10,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_x4ee,BOM-DEL,EaseMyTrip,6E,6E-6543,2026-09-08,T+15,5317,1167,6484,2026-08-24T00:56:25.668Z,FALSE,"",07:50,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_vg0h,BOM-DEL,EaseMyTrip,6E,6E-5246,2026-09-08,T+15,5317,1167,6484,2026-08-24T00:56:25.668Z,FALSE,"",07:15,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_lnez,BOM-DEL,EaseMyTrip,6E,6E-5318,2026-09-08,T+15,5317,1167,6484,2026-08-24T00:56:25.668Z,FALSE,"",10:15,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_01n3,BOM-DEL,EaseMyTrip,6E,6E-5178,2026-09-08,T+15,5317,1167,6484,2026-08-24T00:56:25.668Z,FALSE,"",11:40,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_r8m9,BOM-DEL,EaseMyTrip,6E,6E-6195,2026-09-08,T+15,5317,1167,6484,2026-08-24T00:56:25.668Z,FALSE,"",23:00,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_vaq9,BOM-DEL,EaseMyTrip,6E,6E-5228,2026-09-08,T+15,5317,1167,6484,2026-08-24T00:56:25.668Z,FALSE,"",16:45,FALSE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_tiy3,BOM-DEL,EaseMyTrip,6E,6E-5326,2026-09-08,T+15,5317,1167,6484,2026-08-24T00:56:25.668Z,FALSE,"",19:40,FALSE
fare_BOM-DEL_SG_2026-09-08_T+15_1787534247290_0zur,BOM-DEL,EaseMyTrip,SG,SG-243,2026-09-08,T+15,5502,1208,6710,2026-08-24T00:56:25.668Z,FALSE,"",15:55,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_qd74,BOM-DEL,EaseMyTrip,6E,6E-305,2026-09-08,T+15,5380,1181,6561,2026-08-24T00:56:25.668Z,FALSE,"",17:20,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_egj1,BOM-DEL,EaseMyTrip,6E,6E-729,2026-09-08,T+15,5380,1181,6561,2026-08-24T00:56:25.668Z,FALSE,"",17:20,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_b58d,BOM-DEL,EaseMyTrip,6E,6E-2090,2026-09-08,T+15,5380,1181,6561,2026-08-24T00:56:25.668Z,FALSE,"",06:25,TRUE
fare_BOM-DEL_QP_2026-09-08_T+15_1787534247290_6jy3,BOM-DEL,EaseMyTrip,QP,QP-1825,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",17:00,TRUE
fare_BOM-DEL_QP_2026-09-08_T+15_1787534247290_eg3e,BOM-DEL,EaseMyTrip,QP,QP-1127,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",13:00,TRUE
fare_BOM-DEL_QP_2026-09-08_T+15_1787534247290_ahwq,BOM-DEL,EaseMyTrip,QP,QP-1819,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",14:30,TRUE
fare_BOM-DEL_QP_2026-09-08_T+15_1787534247290_xjwo,BOM-DEL,EaseMyTrip,QP,QP-1111,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",05:10,TRUE
fare_BOM-DEL_QP_2026-09-08_T+15_1787534247290_hwth,BOM-DEL,EaseMyTrip,QP,QP-1835,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",11:50,TRUE
fare_BOM-DEL_QP_2026-09-08_T+15_1787534247290_oy9h,BOM-DEL,EaseMyTrip,QP,QP-1808,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",16:50,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_kcul,BOM-DEL,EaseMyTrip,6E,6E-152,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",17:20,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_jacn,BOM-DEL,EaseMyTrip,6E,6E-280,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",17:20,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_ebtc,BOM-DEL,EaseMyTrip,6E,6E-6082,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",16:45,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_lok2,BOM-DEL,EaseMyTrip,6E,6E-913,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",16:00,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_rj0l,BOM-DEL,EaseMyTrip,6E,6E-447,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",16:00,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_ks4l,BOM-DEL,EaseMyTrip,6E,6E-216,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",15:00,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_7u5h,BOM-DEL,EaseMyTrip,6E,6E-849,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",15:00,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_m3xd,BOM-DEL,EaseMyTrip,6E,6E-6704,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",14:00,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_okak,BOM-DEL,EaseMyTrip,6E,6E-6028,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",12:15,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_mqne,BOM-DEL,EaseMyTrip,6E,6E-976,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",13:00,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_tqo1,BOM-DEL,EaseMyTrip,6E,6E-374,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",13:00,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_iu35,BOM-DEL,EaseMyTrip,6E,6E-6052,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",10:00,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_hu6i,BOM-DEL,EaseMyTrip,6E,6E-346,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",10:35,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_wlfv,BOM-DEL,EaseMyTrip,6E,6E-265,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",10:35,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_noyk,BOM-DEL,EaseMyTrip,6E,6E-6827,2026-09-08,T+15,5381,1181,6562,2026-08-24T00:56:25.668Z,FALSE,"",11:30,TRUE
fare_BOM-DEL_QP_2026-09-08_T+15_1787534247290_z6w5,BOM-DEL,EaseMyTrip,QP,QP-1939,2026-09-08,T+15,5423,1191,6614,2026-08-24T00:56:25.668Z,FALSE,"",10:10,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_wjfs,BOM-DEL,EaseMyTrip,6E,6E-5197,2026-09-08,T+15,5423,1191,6614,2026-08-24T00:56:25.668Z,FALSE,"",06:40,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_9nzr,BOM-DEL,EaseMyTrip,6E,6E-263,2026-09-08,T+15,5510,1210,6720,2026-08-24T00:56:25.668Z,FALSE,"",05:00,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_85tu,BOM-DEL,EaseMyTrip,6E,6E-873,2026-09-08,T+15,5510,1210,6720,2026-08-24T00:56:25.668Z,FALSE,"",05:00,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_gv5j,BOM-DEL,EaseMyTrip,6E,6E-960,2026-09-08,T+15,5510,1210,6720,2026-08-24T00:56:25.668Z,FALSE,"",23:45,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_ac4u,BOM-DEL,EaseMyTrip,6E,6E-900,2026-09-08,T+15,5510,1210,6720,2026-08-24T00:56:25.668Z,FALSE,"",23:45,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_s6ot,BOM-DEL,EaseMyTrip,6E,6E-814,2026-09-08,T+15,5510,1210,6720,2026-08-24T00:56:25.668Z,FALSE,"",22:15,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_077x,BOM-DEL,EaseMyTrip,6E,6E-493,2026-09-08,T+15,5510,1210,6720,2026-08-24T00:56:25.668Z,FALSE,"",22:15,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_4b54,BOM-DEL,EaseMyTrip,6E,6E-357,2026-09-08,T+15,5510,1210,6720,2026-08-24T00:56:25.668Z,FALSE,"",06:00,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_ymqt,BOM-DEL,EaseMyTrip,6E,6E-927,2026-09-08,T+15,5510,1210,6720,2026-08-24T00:56:25.668Z,FALSE,"",06:00,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_aptd,BOM-DEL,EaseMyTrip,6E,6E-134,2026-09-08,T+15,5510,1210,6720,2026-08-24T00:56:25.668Z,FALSE,"",09:00,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_agl5,BOM-DEL,EaseMyTrip,6E,6E-888,2026-09-08,T+15,5510,1210,6720,2026-08-24T00:56:25.668Z,FALSE,"",09:00,TRUE
fare_BOM-DEL_AI_2026-09-08_T+15_1787534247290_cvxa,BOM-DEL,EaseMyTrip,AI,AI-2677,2026-09-08,T+15,5766,1266,7032,2026-08-24T00:56:25.668Z,FALSE,"",13:00,TRUE
fare_BOM-DEL_AI_2026-09-08_T+15_1787534247290_cy29,BOM-DEL,EaseMyTrip,AI,AI-2422,2026-09-08,T+15,5766,1266,7032,2026-08-24T00:56:25.668Z,FALSE,"",01:00,TRUE
fare_BOM-DEL_AI_2026-09-08_T+15_1787534247290_337x,BOM-DEL,EaseMyTrip,AI,AI-2432,2026-09-08,T+15,5766,1266,7032,2026-08-24T00:56:25.668Z,FALSE,"",09:30,TRUE
fare_BOM-DEL_AI_2026-09-08_T+15_1787534247290_t0a2,BOM-DEL,EaseMyTrip,AI,AI-2430,2026-09-08,T+15,5766,1266,7032,2026-08-24T00:56:25.668Z,FALSE,"",10:00,TRUE
fare_BOM-DEL_AI_2026-09-08_T+15_1787534247290_l1n4,BOM-DEL,EaseMyTrip,AI,AI-2952,2026-09-08,T+15,5766,1266,7032,2026-08-24T00:56:25.668Z,FALSE,"",11:25,TRUE
fare_BOM-DEL_AI_2026-09-08_T+15_1787534247290_rfkh,BOM-DEL,EaseMyTrip,AI,AI-2419,2026-09-08,T+15,5766,1266,7032,2026-08-24T00:56:25.668Z,FALSE,"",12:00,TRUE
fare_BOM-DEL_AI_2026-09-08_T+15_1787534247290_ejuw,BOM-DEL,EaseMyTrip,AI,AI-2960,2026-09-08,T+15,5766,1266,7032,2026-08-24T00:56:25.668Z,FALSE,"",14:05,TRUE
fare_BOM-DEL_AI_2026-09-08_T+15_1787534247290_gz5c,BOM-DEL,EaseMyTrip,AI,AI-2944,2026-09-08,T+15,5766,1266,7032,2026-08-24T00:56:25.668Z,FALSE,"",14:35,TRUE
fare_BOM-DEL_AI_2026-09-08_T+15_1787534247290_av3u,BOM-DEL,EaseMyTrip,AI,AI-2442,2026-09-08,T+15,5766,1266,7032,2026-08-24T00:56:25.668Z,FALSE,"",15:00,TRUE
fare_BOM-DEL_AI_2026-09-08_T+15_1787534247290_5qj8,BOM-DEL,EaseMyTrip,AI,AI-1851,2026-09-08,T+15,5766,1266,7032,2026-08-24T00:56:25.668Z,FALSE,"",15:30,TRUE
fare_BOM-DEL_QP_2026-09-08_T+15_1787534247290_7qns,BOM-DEL,EaseMyTrip,QP,QP-1120,2026-09-08,T+15,5679,1246,6925,2026-08-24T00:56:25.668Z,FALSE,"",19:00,TRUE
fare_BOM-DEL_QP_2026-09-08_T+15_1787534247290_8w5v,BOM-DEL,EaseMyTrip,QP,QP-1109,2026-09-08,T+15,5679,1246,6925,2026-08-24T00:56:25.668Z,FALSE,"",07:00,TRUE
fare_BOM-DEL_QP_2026-09-08_T+15_1787534247290_ljgo,BOM-DEL,EaseMyTrip,QP,QP-1834,2026-09-08,T+15,5679,1246,6925,2026-08-24T00:56:25.668Z,FALSE,"",10:20,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_c9ry,BOM-DEL,EaseMyTrip,6E,6E-162,2026-09-08,T+15,5683,1247,6930,2026-08-24T00:56:25.668Z,FALSE,"",19:00,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_tmms,BOM-DEL,EaseMyTrip,6E,6E-115,2026-09-08,T+15,5683,1247,6930,2026-08-24T00:56:25.668Z,FALSE,"",19:00,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_9ag6,BOM-DEL,EaseMyTrip,6E,6E-6613,2026-09-08,T+15,5683,1247,6930,2026-08-24T00:56:25.668Z,FALSE,"",18:15,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_yzm8,BOM-DEL,EaseMyTrip,6E,6E-466,2026-09-08,T+15,5683,1247,6930,2026-08-24T00:56:25.668Z,FALSE,"",07:00,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_9jx2,BOM-DEL,EaseMyTrip,6E,6E-567,2026-09-08,T+15,5683,1247,6930,2026-08-24T00:56:25.668Z,FALSE,"",07:00,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_ier5,BOM-DEL,EaseMyTrip,6E,6E-521,2026-09-08,T+15,5683,1247,6930,2026-08-24T00:56:25.668Z,FALSE,"",08:00,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_5w5g,BOM-DEL,EaseMyTrip,6E,6E-611,2026-09-08,T+15,5683,1247,6930,2026-08-24T00:56:25.668Z,FALSE,"",08:00,TRUE
fare_BOM-DEL_AI_2026-09-08_T+15_1787534247290_ofmv,BOM-DEL,EaseMyTrip,AI,AI-2928,2026-09-08,T+15,5897,1294,7191,2026-08-24T00:56:25.668Z,FALSE,"",06:30,TRUE
fare_BOM-DEL_AI_2026-09-08_T+15_1787534247290_qjpx,BOM-DEL,EaseMyTrip,AI,AI-2970,2026-09-08,T+15,5897,1294,7191,2026-08-24T00:56:25.668Z,FALSE,"",08:30,TRUE
fare_BOM-DEL_AI_2026-09-08_T+15_1787534247290_8l9u,BOM-DEL,EaseMyTrip,AI,AI-1882,2026-09-08,T+15,5897,1294,7191,2026-08-24T00:56:25.668Z,FALSE,"",23:55,TRUE
fare_BOM-DEL_AI_2026-09-08_T+15_1787534247290_bxag,BOM-DEL,EaseMyTrip,AI,AI-2986,2026-09-08,T+15,5897,1294,7191,2026-08-24T00:56:25.668Z,FALSE,"",22:35,TRUE
fare_BOM-DEL_6E_2026-09-08_T+15_1787534247290_e8nq,BOM-DEL,EaseMyTrip,6E,6E-128,2026-09-08,T+15,5852,1284,7136,2026-08-24T00:56:25.668Z,FALSE,"",04:00,FALSE
