id,route_id,source,carrier,flight_number,flight_date,booking_window,base_fare,taxes,total_fare,scraped_at,is_outlier,outlier_reason,departure_time,is_nonstop
fare_BOM-DEL_IX_2026-09-13_T+15_1787969571905_mez4,BOM-DEL,EaseMyTrip,IX,IX-2153,2026-09-13,T+15,5967,1310,7277,2026-08-29T01:51:35.892Z,FALSE,"",20:25,TRUE
fare_BOM-DEL_IX_2026-09-13_T+15_1787969571905_gdka,BOM-DEL,EaseMyTrip,IX,IX-1050,2026-09-13,T+15,5380,1181,6561,2026-08-29T01:51:35.892Z,FALSE,"",08:55,TRUE
fare_BOM-DEL_SG_2026-09-13_T+15_1787969571905_segq,BOM-DEL,EaseMyTrip,SG,SG-800,2026-09-13,T+15,5383,1182,6565,2026-08-29T01:51:35.892Z,FALSE,"",01:50,TRUE
fare_BOM-DEL_SG_2026-09-13_T+15_1787969571905_o5gl,BOM-DEL,EaseMyTrip,SG,SG-690,2026-09-13,T+15,5383,1182,6565,2026-08-29T01:51:35.892Z,FALSE,"",01:50,TRUE
fare_BOM-DEL_SG_2026-09-13_T+15_1787969571905_olgv,BOM-DEL,EaseMyTrip,SG,SG-948,2026-09-13,T+15,5383,1182,6565,2026-08-29T01:51:35.892Z,FALSE,"",23:25,TRUE
fare_BOM-DEL_SG_2026-09-13_T+15_1787969571905_vwz1,BOM-DEL,EaseMyTrip,SG,SG-221,2026-09-13,T+15,5383,1182,6565,2026-08-29T01:51:35.892Z,FALSE,"",23:25,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_wf4n,BOM-DEL,EaseMyTrip,6E,6E-2090,2026-09-13,T+15,5380,1181,6561,2026-08-29T01:51:35.892Z,FALSE,"",06:25,TRUE
fare_BOM-DEL_QP_2026-09-13_T+15_1787969571905_kx4d,BOM-DEL,EaseMyTrip,QP,QP-1111,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",05:25,TRUE
fare_BOM-DEL_QP_2026-09-13_T+15_1787969571905_9x63,BOM-DEL,EaseMyTrip,QP,QP-1109,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",07:00,TRUE
fare_BOM-DEL_QP_2026-09-13_T+15_1787969571905_h43e,BOM-DEL,EaseMyTrip,QP,QP-1127,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",13:00,TRUE
fare_BOM-DEL_QP_2026-09-13_T+15_1787969571905_dddv,BOM-DEL,EaseMyTrip,QP,QP-1819,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",14:30,TRUE
fare_BOM-DEL_QP_2026-09-13_T+15_1787969571905_wndq,BOM-DEL,EaseMyTrip,QP,QP-1834,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",10:20,TRUE
fare_BOM-DEL_QP_2026-09-13_T+15_1787969571905_05xn,BOM-DEL,EaseMyTrip,QP,QP-1825,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",16:50,TRUE
fare_BOM-DEL_QP_2026-09-13_T+15_1787969571905_812i,BOM-DEL,EaseMyTrip,QP,QP-1835,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",11:50,TRUE
fare_BOM-DEL_QP_2026-09-13_T+15_1787969571905_hphl,BOM-DEL,EaseMyTrip,QP,QP-1120,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",18:45,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_64fg,BOM-DEL,EaseMyTrip,6E,6E-606,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",06:00,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_6o61,BOM-DEL,EaseMyTrip,6E,6E-124,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",06:00,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_nlpf,BOM-DEL,EaseMyTrip,6E,6E-6704,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",14:00,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_tglg,BOM-DEL,EaseMyTrip,6E,6E-920,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",08:00,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_v254,BOM-DEL,EaseMyTrip,6E,6E-156,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",08:00,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_xlet,BOM-DEL,EaseMyTrip,6E,6E-302,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",09:00,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_38c2,BOM-DEL,EaseMyTrip,6E,6E-283,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",09:00,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_gmet,BOM-DEL,EaseMyTrip,6E,6E-433,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",10:35,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_mj5j,BOM-DEL,EaseMyTrip,6E,6E-489,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",10:35,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_4h08,BOM-DEL,EaseMyTrip,6E,6E-6827,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",11:30,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_f4ma,BOM-DEL,EaseMyTrip,6E,6E-6028,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",12:15,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_dzua,BOM-DEL,EaseMyTrip,6E,6E-782,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",13:00,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_3f6y,BOM-DEL,EaseMyTrip,6E,6E-724,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",13:00,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_ktx0,BOM-DEL,EaseMyTrip,6E,6E-6052,2026-09-13,T+15,5381,1181,6562,2026-08-29T01:51:35.892Z,FALSE,"",10:00,TRUE
fare_BOM-DEL_QP_2026-09-13_T+15_1787969571905_pyan,BOM-DEL,EaseMyTrip,QP,QP-1939,2026-09-13,T+15,5423,1191,6614,2026-08-29T01:51:35.892Z,FALSE,"",10:10,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_lysi,BOM-DEL,EaseMyTrip,6E,6E-5197,2026-09-13,T+15,5423,1191,6614,2026-08-29T01:51:35.892Z,FALSE,"",06:40,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_fhoj,BOM-DEL,EaseMyTrip,6E,6E-567,2026-09-13,T+15,5510,1210,6720,2026-08-29T01:51:35.892Z,FALSE,"",23:45,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_1jy7,BOM-DEL,EaseMyTrip,6E,6E-801,2026-09-13,T+15,5510,1210,6720,2026-08-29T01:51:35.892Z,FALSE,"",23:45,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_bqfc,BOM-DEL,EaseMyTrip,6E,6E-595,2026-09-13,T+15,5510,1210,6720,2026-08-29T01:51:35.892Z,FALSE,"",22:15,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_r6e0,BOM-DEL,EaseMyTrip,6E,6E-675,2026-09-13,T+15,5510,1210,6720,2026-08-29T01:51:35.892Z,FALSE,"",22:15,TRUE
fare_BOM-DEL_6E_2026-09-13_T+15_1787969571905_s3yh,BOM-DEL,EaseMyTrip,6E,6E-653,2026-09-13,T+15,5510,1210,6720,2026-08-29T01:51:35.892Z,FALSE,"",20:20,TRUE
