id,route_id,source,carrier,flight_number,flight_date,booking_window,base_fare,taxes,total_fare,scraped_at,is_outlier,outlier_reason,departure_time,is_nonstop
fare_DEL-BOM_IX_2026-08-28_T+1_1787814175259_mjn9,DEL-BOM,EaseMyTrip,IX,IX-1038,2026-08-28,T+1,5354,1175,6529,2026-08-27T06:41:13.622Z,FALSE,"",18:40,TRUE
fare_DEL-BOM_IX_2026-08-28_T+1_1787814175259_6orf,DEL-BOM,EaseMyTrip,IX,IX-1395,2026-08-28,T+1,5354,1175,6529,2026-08-27T06:41:13.622Z,FALSE,"",19:15,TRUE
fare_DEL-BOM_SG_2026-08-28_T+1_1787814175259_zot0,DEL-BOM,EaseMyTrip,SG,SG-879,2026-08-28,T+1,5255,1153,6408,2026-08-27T06:41:13.622Z,FALSE,"",21:00,TRUE
fare_DEL-BOM_SG_2026-08-28_T+1_1787814175259_qq4i,DEL-BOM,EaseMyTrip,SG,SG-569,2026-08-28,T+1,5255,1153,6408,2026-08-27T06:41:13.622Z,FALSE,"",21:00,TRUE
fare_DEL-BOM_SG_2026-08-28_T+1_1787814175259_l8z0,DEL-BOM,EaseMyTrip,SG,SG-198,2026-08-28,T+1,5255,1153,6408,2026-08-27T06:41:13.622Z,FALSE,"",22:30,TRUE
fare_DEL-BOM_SG_2026-08-28_T+1_1787814175259_x1xm,DEL-BOM,EaseMyTrip,SG,SG-307,2026-08-28,T+1,5255,1153,6408,2026-08-27T06:41:13.622Z,FALSE,"",22:30,TRUE
fare_DEL-BOM_IX_2026-08-28_T+1_1787814175259_32pa,DEL-BOM,EaseMyTrip,IX,IX-1605,2026-08-28,T+1,5354,1175,6529,2026-08-27T06:41:13.622Z,FALSE,"",06:00,TRUE
fare_DEL-BOM_IX_2026-08-28_T+1_1787814175259_7d3z,DEL-BOM,EaseMyTrip,IX,IX-1056,2026-08-28,T+1,5354,1175,6529,2026-08-27T06:41:13.622Z,FALSE,"",17:50,TRUE
fare_DEL-BOM_IX_2026-08-28_T+1_1787814175259_s7yj,DEL-BOM,EaseMyTrip,IX,IX-2457,2026-08-28,T+1,5729,1258,6987,2026-08-27T06:41:13.622Z,FALSE,"",11:30,FALSE
fare_DEL-BOM_IX_2026-08-28_T+1_1787814175259_ym2b,DEL-BOM,EaseMyTrip,IX,IX-1001,2026-08-28,T+1,5729,1258,6987,2026-08-27T06:41:13.622Z,FALSE,"",09:00,FALSE
fare_DEL-BOM_IX_2026-08-28_T+1_1787814175259_nj22,DEL-BOM,EaseMyTrip,IX,IX-1067,2026-08-28,T+1,5729,1258,6987,2026-08-27T06:41:13.622Z,FALSE,"",06:10,FALSE
fare_DEL-BOM_6E_2026-08-28_T+1_1787814175259_zqz7,DEL-BOM,EaseMyTrip,6E,6E-5096,2026-08-28,T+1,5282,1160,6442,2026-08-27T06:41:13.622Z,FALSE,"",17:00,TRUE
fare_DEL-BOM_QP_2026-08-28_T+1_1787814175259_a34z,DEL-BOM,EaseMyTrip,QP,QP-2074,2026-08-28,T+1,5330,1170,6500,2026-08-27T06:41:13.622Z,FALSE,"",14:10,TRUE
fare_DEL-BOM_6E_2026-08-28_T+1_1787814175259_m1w7,DEL-BOM,EaseMyTrip,6E,6E-993,2026-08-28,T+1,5354,1175,6529,2026-08-27T06:41:13.622Z,FALSE,"",20:20,TRUE
fare_DEL-BOM_6E_2026-08-28_T+1_1787814175259_gjva,DEL-BOM,EaseMyTrip,6E,6E-118,2026-08-28,T+1,5354,1175,6529,2026-08-27T06:41:13.622Z,FALSE,"",20:20,TRUE
fare_DEL-BOM_6E_2026-08-28_T+1_1787814175259_rdpb,DEL-BOM,EaseMyTrip,6E,6E-6470,2026-08-28,T+1,5354,1175,6529,2026-08-27T06:41:13.622Z,FALSE,"",06:55,TRUE
fare_DEL-BOM_QP_2026-08-28_T+1_1787814175259_61u5,DEL-BOM,EaseMyTrip,QP,QP-1110,2026-08-28,T+1,5355,1175,6530,2026-08-27T06:41:13.622Z,FALSE,"",10:30,TRUE
fare_DEL-BOM_QP_2026-08-28_T+1_1787814175259_eayc,DEL-BOM,EaseMyTrip,QP,QP-1820,2026-08-28,T+1,5355,1175,6530,2026-08-27T06:41:13.622Z,FALSE,"",17:30,TRUE
fare_DEL-BOM_QP_2026-08-28_T+1_1787814175259_k3xg,DEL-BOM,EaseMyTrip,QP,QP-1833,2026-08-28,T+1,5355,1175,6530,2026-08-27T06:41:13.622Z,FALSE,"",06:50,TRUE
fare_DEL-BOM_QP_2026-08-28_T+1_1787814175259_d73u,DEL-BOM,EaseMyTrip,QP,QP-1119,2026-08-28,T+1,5355,1175,6530,2026-08-27T06:41:13.622Z,FALSE,"",08:40,TRUE
fare_DEL-BOM_QP_2026-08-28_T+1_1787814175259_x00t,DEL-BOM,EaseMyTrip,QP,QP-1128,2026-08-28,T+1,5355,1175,6530,2026-08-27T06:41:13.622Z,FALSE,"",16:00,TRUE
fare_DEL-BOM_QP_2026-08-28_T+1_1787814175259_hfji,DEL-BOM,EaseMyTrip,QP,QP-1112,2026-08-28,T+1,5355,1175,6530,2026-08-27T06:41:13.622Z,FALSE,"",09:20,TRUE
fare_DEL-BOM_QP_2026-08-28_T+1_1787814175259_m3un,DEL-BOM,EaseMyTrip,QP,QP-1836,2026-08-28,T+1,5355,1175,6530,2026-08-27T06:41:13.622Z,FALSE,"",12:05,TRUE
fare_DEL-BOM_QP_2026-08-28_T+1_1787814175259_5xsp,DEL-BOM,EaseMyTrip,QP,QP-1826,2026-08-28,T+1,5355,1175,6530,2026-08-27T06:41:13.622Z,FALSE,"",19:55,TRUE
fare_DEL-BOM_6E_2026-08-28_T+1_1787814175259_qr7d,DEL-BOM,EaseMyTrip,6E,6E-946,2026-08-28,T+1,5355,1175,6530,2026-08-27T06:41:13.622Z,FALSE,"",05:00,TRUE
fare_DEL-BOM_6E_2026-08-28_T+1_1787814175259_gz2e,DEL-BOM,EaseMyTrip,6E,6E-741,2026-08-28,T+1,5355,1175,6530,2026-08-27T06:41:13.622Z,FALSE,"",05:00,TRUE
fare_DEL-BOM_6E_2026-08-28_T+1_1787814175259_615s,DEL-BOM,EaseMyTrip,6E,6E-6114,2026-08-28,T+1,5355,1175,6530,2026-08-27T06:41:13.622Z,FALSE,"",22:45,TRUE
fare_DEL-BOM_6E_2026-08-28_T+1_1787814175259_m7ma,DEL-BOM,EaseMyTrip,6E,6E-590,2026-08-28,T+1,5355,1175,6530,2026-08-27T06:41:13.622Z,FALSE,"",20:00,TRUE
fare_DEL-BOM_6E_2026-08-28_T+1_1787814175259_aqfa,DEL-BOM,EaseMyTrip,6E,6E-940,2026-08-28,T+1,5355,1175,6530,2026-08-27T06:41:13.622Z,FALSE,"",20:00,TRUE
fare_DEL-BOM_6E_2026-08-28_T+1_1787814175259_d56m,DEL-BOM,EaseMyTrip,6E,6E-375,2026-08-28,T+1,5355,1175,6530,2026-08-27T06:41:13.622Z,FALSE,"",19:00,TRUE
fare_DEL-BOM_6E_2026-08-28_T+1_1787814175259_jr64,DEL-BOM,EaseMyTrip,6E,6E-425,2026-08-28,T+1,5355,1175,6530,2026-08-27T06:41:13.622Z,FALSE,"",19:00,TRUE
fare_DEL-BOM_6E_2026-08-28_T+1_1787814175259_mb2p,DEL-BOM,EaseMyTrip,6E,6E-509,2026-08-28,T+1,5355,1175,6530,2026-08-27T06:41:13.622Z,FALSE,"",18:00,TRUE
fare_DEL-BOM_6E_2026-08-28_T+1_1787814175259_3mlm,DEL-BOM,EaseMyTrip,6E,6E-642,2026-08-28,T+1,5355,1175,6530,2026-08-27T06:41:13.622Z,FALSE,"",18:00,TRUE
