id,route_id,source,carrier,flight_number,flight_date,booking_window,base_fare,taxes,total_fare,scraped_at,is_outlier,outlier_reason,departure_time,is_nonstop
fare_DEL-BOM_IX_2026-09-15_T+15_1788146301089_ai6o,DEL-BOM,EaseMyTrip,IX,IX-1165,2026-09-15,T+15,5354,1175,6529,2026-08-31T02:56:47.263Z,FALSE,"",05:45,FALSE
fare_DEL-BOM_IX_2026-09-15_T+15_1788146301089_vn32,DEL-BOM,EaseMyTrip,IX,IX-1235,2026-09-15,T+15,5354,1175,6529,2026-08-31T02:56:47.263Z,FALSE,"",23:25,TRUE
fare_DEL-BOM_IX_2026-09-15_T+15_1788146301089_1ovm,DEL-BOM,EaseMyTrip,IX,IX-1056,2026-09-15,T+15,5354,1175,6529,2026-08-31T02:56:47.263Z,FALSE,"",05:35,TRUE
fare_DEL-BOM_IX_2026-09-15_T+15_1788146301089_4owx,DEL-BOM,EaseMyTrip,IX,IX-1038,2026-09-15,T+15,5354,1175,6529,2026-08-31T02:56:47.263Z,FALSE,"",17:35,TRUE
fare_DEL-BOM_IX_2026-09-15_T+15_1788146301089_s7z2,DEL-BOM,EaseMyTrip,IX,IX-1080,2026-09-15,T+15,5354,1175,6529,2026-08-31T02:56:47.263Z,FALSE,"",18:40,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_nfg8,DEL-BOM,EaseMyTrip,6E,6E-186,2026-09-15,T+15,5354,1175,6529,2026-08-31T02:56:47.263Z,FALSE,"",20:20,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_bii8,DEL-BOM,EaseMyTrip,6E,6E-889,2026-09-15,T+15,5354,1175,6529,2026-08-31T02:56:47.263Z,FALSE,"",20:20,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_7ull,DEL-BOM,EaseMyTrip,6E,6E-6470,2026-09-15,T+15,5354,1175,6529,2026-08-31T02:56:47.263Z,FALSE,"",06:55,TRUE
fare_DEL-BOM_QP_2026-09-15_T+15_1788146301089_5hx6,DEL-BOM,EaseMyTrip,QP,QP-1119,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",08:40,TRUE
fare_DEL-BOM_QP_2026-09-15_T+15_1788146301089_suw2,DEL-BOM,EaseMyTrip,QP,QP-1110,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",10:30,TRUE
fare_DEL-BOM_QP_2026-09-15_T+15_1788146301089_7ir1,DEL-BOM,EaseMyTrip,QP,QP-1807,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",13:40,TRUE
fare_DEL-BOM_QP_2026-09-15_T+15_1788146301089_wrik,DEL-BOM,EaseMyTrip,QP,QP-1820,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",17:30,TRUE
fare_DEL-BOM_QP_2026-09-15_T+15_1788146301089_pdba,DEL-BOM,EaseMyTrip,QP,QP-1833,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",06:50,TRUE
fare_DEL-BOM_QP_2026-09-15_T+15_1788146301089_v0w7,DEL-BOM,EaseMyTrip,QP,QP-1112,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",09:20,TRUE
fare_DEL-BOM_QP_2026-09-15_T+15_1788146301089_lwq9,DEL-BOM,EaseMyTrip,QP,QP-1128,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",16:00,TRUE
fare_DEL-BOM_QP_2026-09-15_T+15_1788146301089_vlai,DEL-BOM,EaseMyTrip,QP,QP-1836,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",12:30,TRUE
fare_DEL-BOM_QP_2026-09-15_T+15_1788146301089_9czq,DEL-BOM,EaseMyTrip,QP,QP-1826,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",19:55,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_h7mo,DEL-BOM,EaseMyTrip,6E,6E-742,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",23:30,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_fhld,DEL-BOM,EaseMyTrip,6E,6E-862,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",23:30,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_52dd,DEL-BOM,EaseMyTrip,6E,6E-6706,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",17:00,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_uhw4,DEL-BOM,EaseMyTrip,6E,6E-295,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",16:15,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_cb5t,DEL-BOM,EaseMyTrip,6E,6E-720,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",16:15,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_nggt,DEL-BOM,EaseMyTrip,6E,6E-458,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",15:30,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_u9ur,DEL-BOM,EaseMyTrip,6E,6E-971,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",15:30,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_sbz3,DEL-BOM,EaseMyTrip,6E,6E-6318,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",14:45,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_gls5,DEL-BOM,EaseMyTrip,6E,6E-476,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",13:00,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_2t2l,DEL-BOM,EaseMyTrip,6E,6E-176,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",13:00,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_dbhq,DEL-BOM,EaseMyTrip,6E,6E-6022,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",14:00,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_pwi4,DEL-BOM,EaseMyTrip,6E,6E-6107,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",09:30,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_c6qj,DEL-BOM,EaseMyTrip,6E,6E-6328,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",10:15,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_5ej8,DEL-BOM,EaseMyTrip,6E,6E-6047,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",11:00,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_j3q8,DEL-BOM,EaseMyTrip,6E,6E-6676,2026-09-15,T+15,5355,1175,6530,2026-08-31T02:56:47.263Z,FALSE,"",12:00,TRUE
fare_DEL-BOM_QP_2026-09-15_T+15_1788146301089_h01y,DEL-BOM,EaseMyTrip,QP,QP-1940,2026-09-15,T+15,5427,1191,6618,2026-08-31T02:56:47.263Z,FALSE,"",14:00,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_gc3k,DEL-BOM,EaseMyTrip,6E,6E-5198,2026-09-15,T+15,5427,1191,6618,2026-08-31T02:56:47.263Z,FALSE,"",15:00,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_2x86,DEL-BOM,EaseMyTrip,6E,6E-837,2026-09-15,T+15,5484,1204,6688,2026-08-31T02:56:47.263Z,FALSE,"",05:00,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_gsen,DEL-BOM,EaseMyTrip,6E,6E-996,2026-09-15,T+15,5484,1204,6688,2026-08-31T02:56:47.263Z,FALSE,"",05:00,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_gpoh,DEL-BOM,EaseMyTrip,6E,6E-6114,2026-09-15,T+15,5484,1204,6688,2026-08-31T02:56:47.263Z,FALSE,"",22:45,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_5yoj,DEL-BOM,EaseMyTrip,6E,6E-6218,2026-09-15,T+15,5484,1204,6688,2026-08-31T02:56:47.263Z,FALSE,"",06:05,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_waaj,DEL-BOM,EaseMyTrip,6E,6E-814,2026-09-15,T+15,5484,1204,6688,2026-08-31T02:56:47.263Z,FALSE,"",08:45,TRUE
fare_DEL-BOM_6E_2026-09-15_T+15_1788146301089_5o7o,DEL-BOM,EaseMyTrip,6E,6E-571,2026-09-15,T+15,5484,1204,6688,2026-08-31T02:56:47.263Z,FALSE,"",08:45,TRUE
fare_DEL-BOM_AI_2026-09-15_T+15_1788146301089_unqi,DEL-BOM,EaseMyTrip,AI,AI-2963,2026-09-15,T+15,5740,1260,7000,2026-08-31T02:56:47.263Z,FALSE,"",09:00,TRUE
fare_DEL-BOM_AI_2026-09-15_T+15_1788146301089_ug9f,DEL-BOM,EaseMyTrip,AI,AI-2425,2026-09-15,T+15,5740,1260,7000,2026-08-31T02:56:47.263Z,FALSE,"",10:30,TRUE
fare_DEL-BOM_AI_2026-09-15_T+15_1788146301089_zwvj,DEL-BOM,EaseMyTrip,AI,AI-2951,2026-09-15,T+15,5740,1260,7000,2026-08-31T02:56:47.263Z,FALSE,"",13:30,TRUE
fare_DEL-BOM_AI_2026-09-15_T+15_1788146301089_ju3n,DEL-BOM,EaseMyTrip,AI,AI-2941,2026-09-15,T+15,5740,1260,7000,2026-08-31T02:56:47.263Z,FALSE,"",16:30,TRUE
fare_DEL-BOM_AI_2026-09-15_T+15_1788146301089_ac5s,DEL-BOM,EaseMyTrip,AI,AI-2981,2026-09-15,T+15,5740,1260,7000,2026-08-31T02:56:47.263Z,FALSE,"",21:00,TRUE
fare_DEL-BOM_AI_2026-09-15_T+15_1788146301089_8kcr,DEL-BOM,EaseMyTrip,AI,AI-2995,2026-09-15,T+15,5740,1260,7000,2026-08-31T02:56:47.263Z,FALSE,"",10:00,TRUE
fare_DEL-BOM_AI_2026-09-15_T+15_1788146301089_wep5,DEL-BOM,EaseMyTrip,AI,AI-2945,2026-09-15,T+15,5740,1260,7000,2026-08-31T02:56:47.263Z,FALSE,"",11:00,TRUE
fare_DEL-BOM_AI_2026-09-15_T+15_1788146301089_8q2z,DEL-BOM,EaseMyTrip,AI,AI-1785,2026-09-15,T+15,5740,1260,7000,2026-08-31T02:56:47.263Z,FALSE,"",12:00,TRUE
fare_DEL-BOM_AI_2026-09-15_T+15_1788146301089_4plb,DEL-BOM,EaseMyTrip,AI,AI-2933,2026-09-15,T+15,5740,1260,7000,2026-08-31T02:56:47.263Z,FALSE,"",15:30,TRUE
